,full_name,selling_price,year,km_driven,fuel_type,transmission_type,mileage,engine
6720,Maruti Wagon R,4.4,2017,27500,Petrol,Manual,20.51,998
6721,Hyundai i10 Sportz,2.25,2009,70000,Petrol,Automatic,16.95,1197
6722,Hyundai i20 Magna,3.45,2013,52000,Petrol,Manual,18.5,1197
6723,Ford Figo Diesel,2.35,2011,76500,Diesel,Manual,20.0,1399
6724,Honda City S,2.6,2009,58000,Petrol,Manual,16.8,1497
6725,Datsun GO Plus,3.5,2015,70000,Petrol,Manual,19.44,1198
6726,Maruti Ertiga VXI,5.5,2015,77100,Petrol,Manual,16.02,1373
6727,Volkswagen Polo 1.2,3.35,2014,56000,Petrol,Manual,16.47,1198
6728,Honda Jazz V,8.0,2018,22000,Petrol,Automatic,18.2,1199
6729,Hyundai Grand i10,5.5,2016,41473,Petrol,Manual,18.9,1197
6730,Mahindra XUV500 W8,8.0,2013,49100,Diesel,Manual,15.1,2179
6731,Honda WR-V i-DTEC,7.9,2018,15000,Diesel,Manual,25.5,1498
6732,Ford Figo 1.5D,4.75,2016,97000,Diesel,Manual,25.83,1498
6733,Volkswagen Polo IPL,6.0,2015,43000,Petrol,Manual,17.24,1198
6734,Hyundai Verna 1.6,5.1,2014,65694,Petrol,Manual,17.01,1591
6735,Maruti Swift ZXI,7.4,2019,18000,Petrol,Manual,21.21,1197
6736,Ford Ecosport 2015-2021,9.9,2019,11458,Diesel,Manual,21.7,1498
6737,Maruti Swift LXI,4.75,2019,25000,Petrol,Manual,21.21,1197
6738,Datsun RediGO Gold,2.85,2018,15000,Petrol,Manual,22.5,999
6739,Ford Figo Diesel,4.1,2015,59000,Diesel,Manual,20.0,1399
6740,Maruti Ciaz Sigma,8.2,2019,20000,Petrol,Manual,21.56,1462
6741,Ford Aspire 1.5,4.8,2015,90000,Diesel,Manual,25.83,1498
6742,Honda Amaze E,4.0,2014,97000,Diesel,Manual,25.8,1498
6743,Maruti Dzire VXI,4.85,2014,51000,Petrol,Manual,23.26,1197
6744,Ford Figo Diesel,4.35,2014,58481,Diesel,Manual,20.0,1399
